Series Name,Series Code,Country Name,Country Code,Scale (Precision),2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2]
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Slovenia,SVN,Millions (0),50251,50707,51799,52728,49963,48559,48204,47717,49723
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,South Africa,ZAF,Millions (0),158533,163311,173286,183239,170811,168182,172508,176004,180568
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Spain,ESP,Millions (0),2198065,2270488,2327047,2442770,2323200,2323608,2305340,2320674,2390372
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Sri Lanka,LKA,Millions (0),48811,49465,51604,51850,53261,52641,52310,54318,55469
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Sweden,SWE,Millions (0),983770,1019954,1005044,1047680,1001709,993619,905069,907048,895862
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Switzerland,CHE,Millions (0),1869650,1869141,1920346,1986201,1900193,1867334,1855779,1833053,1839892
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Thailand,THA,Millions (0),142047,151663,155225,157851,154310,158988,162376,164495,166791
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Tunisia,TUN,Millions (0),31106,32384,33432,33730,32922,33152,35059,33780,34640
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Turkey,TUR,Millions (0),440260,445078,455082,466845,457534,448553,444561,452325,446860
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Ukraine,UKR,Millions (0),114985,116230,115451,115146,113748,114192,114710,113956,115511
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,United Kingdom,GBR,Millions (0),8034185,8409147,8647109,8985142,8490510,8293905,8340592,8594415,8491386
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,United States,USA,Millions (0),18158232,19044211,19020976,19397996,18666499,19579568,19669422,20006050,20263768
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Uruguay,URY,Millions (0),37890,40767,41128,41641,43124,41801,41442,42083,41651
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,West Bank and Gaza,PSE,Millions (0),1839,1805,1552,1642,1567,1604,1424,1682,1598
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Quarterly External Debt Statistics SDDS,,,,,,,,,,,,,
Last Updated: 10/31/2019,,,,,,,,,,,,,
